Question ID,Question Type,Question Text,Option A,Option B,Option C,Option D,Correct Answer Text,Unit Source File
11,MC,Which actionable step is designed to rebalance emotional states through deliberately uplifting events?,Distraction Techniques,Scheduled Pleasant Activities,Self-Awareness,Cognitive Reappraisal,Scheduled Pleasant Activities,05.-Passion’s Slaves (Emotional Intelligence).txt
12,MC,"When does the chapter suggest considering professional intervention, such as medication or psychotherapy?",At the first sign of anger,When emotional arousal has reached an intractable level,Only during a crisis,After all other steps fail,When emotional arousal has reached an intractable level,05.-Passion’s Slaves (Emotional Intelligence).txt
13,MC,Which part of the physiological system is explicitly mentioned as playing a role in emotional arousal?,The prefrontal cortex,The limbic system,The brainstem,The cerebellum,The limbic system,05.-Passion’s Slaves (Emotional Intelligence).txt
14,MC,What do cognitive distraction techniques primarily accomplish during emotional distress?,Enhancing emotional intensity,Providing insight into past behaviors,Shifting focus to break the cycle of escalating emotions,Suppressing all emotional expression,Shifting focus to break the cycle of escalating emotions,05.-Passion’s Slaves (Emotional Intelligence).txt
15,MC,What misconception about emotions does the chapter directly address?,That emotions are solely physiological responses,That emotions should either be fully expressed or completely suppressed,That emotions are irrelevant to decision-making,That emotions can only be mitigated by professional intervention,That emotions should either be fully expressed or completely suppressed,05.-Passion’s Slaves (Emotional Intelligence).txt
16,TF,True or False: The chapter claims that complete emotional suppression is ideal for maintaining emotional balance.,TRUE,FALSE,,,FALSE,05.-Passion’s Slaves (Emotional Intelligence).txt
17,TF,True or False: Emotional hijacking refers to a state where emotions temporarily enhance self-control.,TRUE,FALSE,,,FALSE,05.-Passion’s Slaves (Emotional Intelligence).txt
18,TF,True or False: The process of anger escalation can be mitigated by using cognitive reappraisal to consider alternative perspectives.,TRUE,FALSE,,,TRUE,05.-Passion’s Slaves (Emotional Intelligence).txt
19,TF,True or False: Chronic worry and rumination are described as cycles that ultimately reduce anxiety levels.,TRUE,FALSE,,,FALSE,05.-Passion’s Slaves (Emotional Intelligence).txt
20,TF,True or False: Physiological arousal in emotions involves catecholamine surges and adrenocortical activation.,TRUE,FALSE,,,TRUE,05.-Passion’s Slaves (Emotional Intelligence).txt
21,TF,True or False: Distraction techniques such as taking a walk are recommended to interrupt escalating negative emotions.,TRUE,FALSE,,,TRUE,05.-Passion’s Slaves (Emotional Intelligence).txt
22,TF,True or False: Practicing mindfulness is considered a valid relaxation method in the chapter’s recommendations.,TRUE,FALSE,,,TRUE,05.-Passion’s Slaves (Emotional Intelligence).txt
23,TF,True or False: The catharsis fallacy implies that venting anger typically resolves it.,TRUE,FALSE,,,FALSE,05.-Passion’s Slaves (Emotional Intelligence).txt
24,TF,True or False: The chapter emphasizes the importance of self-awareness for monitoring early indicators of high-arousal emotions.,TRUE,FALSE,,,TRUE,05.-Passion’s Slaves (Emotional Intelligence).txt
25,TF,True or False: Cognitive reappraisal involves affirming the initial negative appraisals without question.,TRUE,FALSE,,,FALSE,05.-Passion’s Slaves (Emotional Intelligence).txt
26,TF,True or False: The chapter underscores that emotional mastery is crucial to prevent harmful behaviors and impaired decision-making.,TRUE,FALSE,,,TRUE,05.-Passion’s Slaves (Emotional Intelligence).txt
27,TF,"True or False: According to the chapter, the concept of Sophrosyne is central to balanced emotional expression.",TRUE,FALSE,,,TRUE,05.-Passion’s Slaves (Emotional Intelligence).txt
28,TF,True or False: The chapter indicates that unchecked passion can lead to impaired decision-making.,TRUE,FALSE,,,TRUE,05.-Passion’s Slaves (Emotional Intelligence).txt
29,TF,True or False: Thought recording is suggested as a strategy to objectively evaluate and counteract distressing thoughts.,TRUE,FALSE,,,TRUE,05.-Passion’s Slaves (Emotional Intelligence).txt
30,TF,True or False: The chapter argues that unregulated passion can transform from a virtue into a liability.,TRUE,FALSE,,,TRUE,05.-Passion’s Slaves (Emotional Intelligence).txt
1,MC,Which two abilities form the foundation for empathy as described in the chapter?,Self-awareness and nonverbal communication,Cognitive reasoning and academic ability,Verbal articulation and memory recall,Attention to detail and logical reasoning,Self-awareness and nonverbal communication,07.-The Roots of Empathy (Emotional Intelligence).txt
2,MC,"According to the chapter, which factor is NOT mentioned as critical in shaping one’s capacity for empathy?",Neural circuitry,Early childhood attunement,Academic intelligence,Nonverbal sensitivity,Academic intelligence,07.-The Roots of Empathy (Emotional Intelligence).txt
3,MC,"What term describes the inability to identify or describe one’s own emotions, thereby impairing empathy?",Alexithymia,Motor Mimicry,Emotional Attunement,Perspective-Taking,Alexithymia,07.-The Roots of Empathy (Emotional Intelligence).txt
4,MC,"Which concept uses tone, gesture, facial expressions, and other cues as the primary mode of expressing and perceiving emotions?",Emotional Attunement,Nonverbal Communication,Reparative Relationships,Neurobiology of Empathy,Nonverbal Communication,07.-The Roots of Empathy (Emotional Intelligence).txt
5,MC,Which process involves a caregiver’s responsive behavior that helps an infant learn to recognize and regulate emotional states?,Motor Mimicry,Emotional Attunement,Perspective-Taking,Alexithymia,Emotional Attunement,07.-The Roots of Empathy (Emotional Intelligence).txt
6,MC,What term best describes the unconscious imitation of another’s emotional expressions?,Motor Mimicry,Emotional Attunement,Nonverbal Communication,Alexithymia,Motor Mimicry,07.-The Roots of Empathy (Emotional Intelligence).txt
7,MC,Which concept supports the idea that empathy is biologically preprogrammed involving the amygdala-cortical circuitry?,Reparative Relationships,Perspective-Taking,Neurobiology of Empathy,Emotional Attunement,Neurobiology of Empathy,07.-The Roots of Empathy (Emotional Intelligence).txt
8,MC,"What ability, essential for moral reasoning and therapeutic processes, involves adopting another’s viewpoint?",Nonverbal Communication,Motor Mimicry,Perspective-Taking,Alexithymia,Perspective-Taking,07.-The Roots of Empathy (Emotional Intelligence).txt
9,MC,Which type of relationship is described as helping reshape maladaptive emotional models stemming from early misattunement?,Reparative Relationships,Emotional Attunement,Neurobiology of Empathy,Motor Mimicry,Reparative Relationships,07.-The Roots of Empathy (Emotional Intelligence).txt
10,MC,Which actionable step involves engaging in mindfulness or reflective practices to recognize and label one’s emotional states?,Step 1: Develop Self-Awareness,Step 2: Train in Nonverbal Sensitivity,Step 3: Enhance Parent-Child Attunement,Step 4: Practice Perspective-Taking Exercises,Step 1: Develop Self-Awareness,07.-The Roots of Empathy (Emotional Intelligence).txt
11,MC,"The PONS test, mentioned in the chapter, is used primarily to improve which skill?",Verbal communication,Nonverbal sensitivity,Cognitive reasoning,Memory retention,Nonverbal sensitivity,07.-The Roots of Empathy (Emotional Intelligence).txt
12,MC,Which step instructs caregivers to mirror and validate infants’ emotional cues for reinforcing connectivity?,Step 1: Develop Self-Awareness,Step 3: Enhance Parent-Child Attunement,Step 4: Practice Perspective-Taking Exercises,Step 5: Incorporate Empathic Feedback,Step 3: Enhance Parent-Child Attunement,07.-The Roots of Empathy (Emotional Intelligence).txt
13,MC,Which actionable step involves role-playing scenarios to help individuals articulate and reflect on the emotions of others?,Step 2: Train in Nonverbal Sensitivity,Step 4: Practice Perspective-Taking Exercises,Step 1: Develop Self-Awareness,Step 5: Incorporate Empathic Feedback,Step 4: Practice Perspective-Taking Exercises,07.-The Roots of Empathy (Emotional Intelligence).txt
14,MC,Which step is designed to ensure alignment between verbal content and nonverbal expressions by using feedback mechanisms?,Step 5: Incorporate Empathic Feedback,Step 3: Enhance Parent-Child Attunement,Step 1: Develop Self-Awareness,Step 2: Train in Nonverbal Sensitivity,Step 5: Incorporate Empathic Feedback,07.-The Roots of Empathy (Emotional Intelligence).txt
15,MC,Which of the following statements is NOT a claim made in the chapter regarding empathy?,Empathy is rooted in self-awareness and nonverbal cues,Biological and developmental factors shape empathy capacity,Empathy is directly correlated with academic or intellectual ability,Caregiver attunement plays a foundational role in empathy development,Empathy is directly correlated with academic or intellectual ability,07.-The Roots of Empathy (Emotional Intelligence).txt
16,TF,True or False: The chapter asserts that empathy is fundamentally rooted in self-awareness and the ability to interpret nonverbal cues.,TRUE,FALSE,,,TRUE,07.-The Roots of Empathy (Emotional Intelligence).txt
17,TF,"True or False: According to the chapter, alexithymia enhances a person’s ability to empathize with others.",TRUE,FALSE,,,FALSE,07.-The Roots of Empathy (Emotional Intelligence).txt
18,TF,"True or False: Nonverbal Communication in the chapter is defined by the use of tone, gesture, and facial expressions.",TRUE,FALSE,,,TRUE,07.-The Roots of Empathy (Emotional Intelligence).txt
19,TF,True or False: Emotional Attunement refers to the process by which a caregiver helps an infant recognize and regulate emotional states.,TRUE,FALSE,,,TRUE,07.-The Roots of Empathy (Emotional Intelligence).txt
20,TF,True or False: Motor Mimicry is described as a conscious effort to imitate another’s emotional expressions.,TRUE,FALSE,,,FALSE,07.-The Roots of Empathy (Emotional Intelligence).txt
21,TF,True or False: The neurobiology of empathy involves the amygdala-cortical circuitry that responds to emotional stimuli.,TRUE,FALSE,,,TRUE,07.-The Roots of Empathy (Emotional Intelligence).txt
22,TF,True or False: Perspective-Taking is unnecessary for moral reasoning and therapeutic corrective processes according to the chapter.,TRUE,FALSE,,,FALSE,07.-The Roots of Empathy (Emotional Intelligence).txt
23,TF,True or False: Reparative Relationships are described as interpersonal interactions that may help reshape maladaptive emotional models.,TRUE,FALSE,,,TRUE,07.-The Roots of Empathy (Emotional Intelligence).txt
24,TF,True or False: Step 2 of the actionable steps recommends utilizing exercises modeled on the PONS test to enhance nonverbal sensitivity.,TRUE,FALSE,,,TRUE,07.-The Roots of Empathy (Emotional Intelligence).txt
25,TF,True or False: The chapter advises against developing self-awareness through mindfulness practices.,TRUE,FALSE,,,FALSE,07.-The Roots of Empathy (Emotional Intelligence).txt
26,TF,"True or False: Enhanced parent-child attunement, as described in the chapter, involves responding to infants’ emotional cues immediately and appropriately.",TRUE,FALSE,,,TRUE,07.-The Roots of Empathy (Emotional Intelligence).txt
27,TF,True or False: Incorporating empathic feedback in communication ensures that verbal and nonverbal signals are misaligned.,TRUE,FALSE,,,FALSE,07.-The Roots of Empathy (Emotional Intelligence).txt
28,TF,True or False: The chapter supports the view that academic or intellectual ability is a reliable indicator of one’s empathetic capacity.,TRUE,FALSE,,,FALSE,07.-The Roots of Empathy (Emotional Intelligence).txt
29,TF,True or False: The chapter builds on earlier discussions of emotional hijackings to deepen the exploration of empathy.,TRUE,FALSE,,,TRUE,07.-The Roots of Empathy (Emotional Intelligence).txt
30,TF,"True or False: According to the chapter, early childhood experiences and parental attunement are linked to later interpersonal dynamics.",TRUE,FALSE,,,TRUE,07.-The Roots of Empathy (Emotional Intelligence).txt
